ticket_id,created_at,category,priority,status,response_time_hrs,resolution_time_hrs,agent_id,customer_rating,issue_summary,Remarks
TKT-025,2024-03-02 16:58,Billing,Low,Escalated,1,,AGT-09,,Refund not processed,Escalated to finance operations for manual wire transfer.
TKT-026,2024-01-09 18:55,Billing,Low,Open,2.1,,AGT-04,,Subscription not activated after payment,
TKT-027,2024-03-20 09:26,General,Medium,Resolved,3,6.5,AGT-11,5,Question about usage limits,Provided documentation on tier limits and burst capacity.
TKT-028,2024-03-26 18:19,Technical,Medium,Open,1.7,,AGT-08,,API timeout errors in production,Reviewing API error rates and retry logic.
TKT-029,2024-03-13 09:04,Billing,Medium,Resolved,1.2,21.4,AGT-09,5,Invoice not received,
TKT-030,2024-03-10 12:39,Technical,Low,Resolved,2.7,45,AGT-11,2,Dashboard not loading,
TKT-031,2024-01-14 16:09,Technical,Low,Resolved,1.6,34.2,AGT-05,5,Database connection timeout,Recycled idle connections and scaled database replica.
TKT-032,2024-01-07 09:40,Technical,Low,Resolved,4.2,9.8,AGT-07,5,Dashboard not loading,Advised user to clear browser cache; dashboard verified working.
TKT-033,2024-02-24 16:00,General,Medium,Open,0.6,,AGT-02,,Feature request: dark mode,
TKT-034,2024-02-17 17:35,General,Low,Resolved,2.3,45.1,AGT-03,5,Request for product documentation,Guided customer to developer documentation portal.
TKT-035,2024-02-01 18:06,Technical,Low,Open,3.9,,AGT-06,,SSL certificate issue,Waiting on DNS validation record propagation.
TKT-036,2024-01-31 10:51,General,High,Resolved,4.4,4.7,AGT-03,5,Question about usage limits,
TKT-037,2024-03-30 09:24,Technical,Low,Resolved,4.3,24.3,AGT-01,3,Integration broken after version upgrade,Updated authentication headers to comply with API v2 standards.
TKT-038,2024-01-25 14:21,Billing,Low,Escalated,4.3,,AGT-05,,Unexpected fee on account,Escalated to finance supervisor for fee reversal authorization.
TKT-039,2024-02-21 18:53,Technical,Medium,Resolved,1.8,7.7,AGT-09,4,Data sync not working,
TKT-040,2024-02-25 13:46,Billing,Low,Escalated,2.3,,AGT-06,,Refund not processed,
TKT-041,2024-01-25 12:02,Technical,High,Resolved,2.3,8.6,AGT-12,5,Integration broken after version upgrade,Provided compatibility patch for third-party connector.
TKT-042,2024-03-26 13:39,Technical,Medium,Resolved,3.4,13.2,AGT-06,4,Error 500 on checkout page,Fixed coupon code validation crash in checkout service.
TKT-043,2024-03-11 10:12,Technical,High,Resolved,3.4,2.9,AGT-07,4,SSL certificate issue,
TKT-044,2024-02-08 12:13,General,High,Open,4,,AGT-07,,Request for account deletion,Awaiting secondary identity confirmation from account owner.
TKT-045,2024-03-27 11:32,Technical,Medium,Escalated,4,,AGT-08,,Dashboard not loading,Escalated to frontend performance team.
TKT-046,2024-03-06 18:40,General,Low,Open,1.8,,AGT-10,,Question about usage limits,
TKT-047,2024-01-26 10:01,General,Medium,Resolved,1.4,3.6,AGT-01,4,Question about usage limits,Clarified plan quotas and reset cycles.
TKT-048,2024-03-04 14:15,General,High,Resolved,3.3,9.5,AGT-03,2,How to add team members,Guided administrator through role invitation settings.
TKT-049,2024-03-30 16:29,Billing,Low,Open,2.9,,AGT-01,,Refund not processed,
TKT-050,2024-02-29 18:33,Technical,Low,Escalated,3.1,,AGT-09,,Webhook not triggering,
TKT-051,2024-03-05 14:53,General,High,Resolved,2.3,6,AGT-09,5,Need help with onboarding,Shared onboarding checklist and quickstart video guide.
TKT-052,2024-01-31 12:28,General,Medium,Resolved,3.6,21.6,AGT-02,2,Feature request: dark mode,Added user vote to public product roadmap for dark mode.
TKT-053,2024-01-20 11:04,Billing,Medium,Resolved,2.2,6.6,AGT-07,4,Incorrect charge on invoice,
TKT-054,2024-01-01 13:19,General,Medium,Escalated,4.3,,AGT-07,,How to add team members,Escalated to sales team to increase team seat limit.
TKT-055,2024-03-10 17:57,General,High,Resolved,2.5,5.3,AGT-04,4,How to add team members,Sent invitation links directly to requested team members.
TKT-056,2024-02-29 10:39,General,Low,Resolved,0.3,5.2,AGT-09,4,Feature request: dark mode,
TKT-057,2024-02-03 14:20,Technical,Low,Resolved,2.4,16.2,AGT-04,5,SSL certificate issue,Regenerated and deployed renewed SSL certificate.
TKT-058,2024-03-01 08:47,Technical,High,Escalated,0.5,,AGT-09,,Integration broken after version upgrade,Escalated to developer relations engineering team.
TKT-059,2024-03-24 08:48,General,Low,Resolved,4.8,59,AGT-01,2,How to export data to CSV,
TKT-060,2024-02-29 12:49,General,Critical,Escalated,1,,AGT-06,,How to export data to CSV,
TKT-061,2024-01-14 17:01,Billing,Critical,Open,3,,AGT-05,,Wrong plan charged,Awaiting confirmation of desired subscription tier.
TKT-062,2024-01-26 09:37,Technical,Critical,Resolved,4.2,2.2,AGT-12,4,API timeout errors in production,Increased API gateway timeout threshold to 30 seconds.
TKT-063,2024-02-14 16:27,General,High,Resolved,2,10.3,AGT-11,5,How to export data to CSV,
TKT-064,2024-03-22 15:45,Technical,Critical,Escalated,2.3,,AGT-03,,Data sync not working,Escalated to data integration engineering.
TKT-065,2024-03-09 15:29,General,High,Resolved,4.2,3.7,AGT-07,5,Need help with onboarding,Walked user through workspace setup and role assignment.
TKT-066,2024-02-29 17:39,Technical,Low,Resolved,2,12,AGT-11,3,Data sync not working,
TKT-067,2024-03-17 12:35,Technical,Low,Resolved,2.7,21.9,AGT-01,4,Integration broken after version upgrade,Reconfigured integration endpoints following version release.
TKT-068,2024-03-03 15:50,General,Medium,Resolved,0.6,8.7,AGT-01,4,Change notification preferences,Configured custom notification digest frequency.
TKT-069,2024-02-24 16:21,General,Medium,Resolved,3.6,4.7,AGT-06,3,How to export data to CSV,
TKT-070,2024-03-29 10:12,General,Medium,Resolved,3.7,18.7,AGT-04,4,How to export data to CSV,
TKT-071,2024-02-16 10:19,Billing,Low,Resolved,3.6,51.9,AGT-01,3,Double billing issue,Canceled secondary subscription and refunded duplicate charge.
TKT-072,2024-03-03 09:55,General,High,Resolved,3,3,AGT-01,2,Change notification preferences,Disabled marketing notifications per user request.
TKT-073,2024-02-21 15:04,Billing,High,Resolved,3.2,7.2,AGT-10,3,Subscription not activated after payment,
TKT-074,2024-02-23 17:38,Billing,Medium,Resolved,1.3,11.7,AGT-10,5,Wrong plan charged,Adjusted subscription tier and credited difference.
TKT-075,2024-01-08 17:47,Technical,Medium,Resolved,4.7,16.5,AGT-02,3,Dashboard not loading,Resolved cached widget conflict causing page crash.
TKT-076,2024-01-01 14:28,General,Low,Resolved,3.1,35.1,AGT-12,5,Change notification preferences,
TKT-077,2024-02-03 18:37,Billing,High,Resolved,4.1,3.5,AGT-11,2,Unexpected fee on account,Fee structure explained and disputed fee refunded.
TKT-078,2024-01-22 12:38,Billing,Low,Open,4.2,,AGT-12,,Payment failed but amount deducted,Awaiting bank reference number from customer.
TKT-079,2024-02-08 14:17,Billing,Medium,Resolved,2.8,21.6,AGT-09,5,Unexpected fee on account,
TKT-080,2024-03-27 17:37,Billing,Low,Resolved,5,5.8,AGT-01,5,Payment failed but amount deducted,
TKT-081,2024-02-05 10:37,General,High,Resolved,3.2,4.8,AGT-07,3,How to export data to CSV,Guided user through export filters and file download.
TKT-082,2024-03-29 15:18,Billing,Medium,Open,4.7,,AGT-11,,Incorrect charge on invoice,Reviewing invoice line items with billing department.
TKT-083,2024-02-02 13:07,Technical,Low,Open,4.4,,AGT-07,,System login failure after update,
TKT-084,2024-02-29 14:03,General,High,Open,2.7,,AGT-04,,Change notification preferences,Testing notification delivery settings for team alias.
TKT-085,2024-01-07 11:17,General,Medium,Resolved,0.8,12.7,AGT-09,1,Question about usage limits,Reviewing current billing period telemetry.
TKT-086,2024-03-11 08:35,General,Low,Escalated,0.6,,AGT-07,,How to export data to CSV,
TKT-087,2024-03-23 10:31,Technical,Critical,Escalated,1.6,,AGT-12,,SSL certificate issue,Escalated to security operations team.
TKT-088,2024-02-01 15:35,Technical,Critical,Open,2,,AGT-03,,Database connection timeout,Monitoring database CPU and I/O utilization.
TKT-089,2024-01-09 12:49,General,High,Open,1.8,,AGT-07,,Need help with onboarding,
TKT-090,2024-02-08 17:37,Billing,Low,Resolved,2.6,19.2,AGT-11,4,Wrong plan charged,
TKT-091,2024-01-25 11:36,Technical,Critical,Escalated,1.3,,AGT-07,,System login failure after update,Cleared SSO token cache; user successfully logged in.
TKT-092,2024-02-18 14:42,Technical,High,Resolved,4.9,84.2,AGT-11,4,API timeout errors in production,Optimized query payload; response latency normalized to <200ms.
TKT-093,2024-02-28 08:46,Technical,Low,Resolved,2.2,24.7,AGT-03,5,Error 500 on checkout page,
TKT-094,2024-03-24 09:54,General,High,Escalated,4.3,,AGT-06,,How to add team members,Patched checkout cart serialization bug.
TKT-095,2024-03-03 16:02,Technical,Medium,Resolved,0.5,23.9,AGT-10,5,SSL certificate issue,Sent invitation links directly to requested team members.
TKT-096,2024-01-13 15:10,Billing,High,Resolved,1.6,1.6,AGT-12,4,Wrong plan charged,
TKT-097,2024-02-22 17:43,Billing,Low,Resolved,1,31.3,AGT-03,3,Double billing issue,Fixed intermediate certificate chain configuration.
TKT-098,2024-02-02 15:16,Billing,Medium,Open,0.2,,AGT-11,,Unexpected fee on account,Plan corrected in billing portal; confirmation dispatched.
TKT-099,2024-01-10 15:22,General,Medium,Escalated,1.6,,AGT-10,,Need help with onboarding,
TKT-100,2024-01-26 14:54,Technical,High,Resolved,0.7,4.3,AGT-08,4,System login failure after update,
TKT-101,2024-01-02 17:55,General,Medium,Escalated,3.9,,AGT-11,,Change notification preferences,Escalated to engineering due to preference persistence bug.
TKT-102,2024-01-30 17:51,Technical,High,Resolved,1.3,9.3,AGT-06,5,Dashboard not loading,Advised user to clear browser cache; dashboard verified working.
TKT-103,2024-03-21 18:02,General,Low,Resolved,4,9.8,AGT-05,5,Request for account deletion,
TKT-104,2024-01-26 10:50,General,Medium,Resolved,4.4,8,AGT-09,3,Change notification preferences,Updated email and in-app notification preferences.
TKT-105,2024-02-13 09:29,Technical,High,Escalated,0.9,,AGT-02,,SSL certificate issue,Escalated to security operations team.
TKT-106,2024-02-20 08:16,General,Medium,Resolved,0.8,7.8,AGT-09,4,Request for account deletion,
TKT-107,2024-03-01 08:39,Billing,High,Open,1.8,,AGT-09,,Refund not processed,Awaiting bank response on refund trace request.
TKT-108,2024-03-30 12:41,General,High,Resolved,0.8,119.7,AGT-07,2,Question about usage limits,Awaiting customer reply regarding expected capacity growth.
TKT-109,2024-02-28 13:42,General,Low,Resolved,3.5,36,AGT-12,5,How to export data to CSV,
TKT-110,2024-02-05 08:44,Technical,Medium,Resolved,1.2,10,AGT-06,5,Error 500 on checkout page,
TKT-111,2024-03-23 13:03,General,Critical,Open,1.5,,AGT-07,,Change notification preferences,Testing notification delivery settings for team alias.
TKT-112,2024-03-23 18:38,Billing,High,Resolved,0.4,9.7,AGT-01,3,Subscription not activated after payment,Payment reconciled; account entitlements refreshed.
TKT-113,2024-01-30 13:49,General,Low,Resolved,4,47.3,AGT-03,5,Need help with onboarding,
TKT-114,2024-01-04 10:00,Billing,Low,Resolved,4,11.7,AGT-06,2,Wrong plan charged,Downgraded to correct plan and issued prorated refund.
TKT-115,2024-01-09 15:28,General,Low,Resolved,2.7,45.6,AGT-06,1,Need help with onboarding,Conducted 1-on-1 onboarding session with customer.
TKT-116,2024-01-04 08:30,Technical,Medium,Resolved,2.2,11.8,AGT-07,5,Error 500 on checkout page,
TKT-117,2024-01-17 12:39,General,Low,Open,3,,AGT-11,,How to add team members,Awaiting admin confirmation of seat license purchase.
TKT-118,2024-02-28 16:38,General,Medium,Open,0.7,,AGT-07,,Question about usage limits,Reviewing current billing period telemetry.
TKT-119,2024-01-30 14:21,Technical,Medium,Open,2.1,,AGT-08,,Error 500 on checkout page,
TKT-120,2024-02-02 13:09,Technical,Medium,Resolved,4.6,4.1,AGT-11,2,Error 500 on checkout page,
TKT-121,2024-03-16 16:35,Billing,Medium,Resolved,3.4,22.7,AGT-06,4,Incorrect charge on invoice,Overcharge credited back to customer account.
TKT-122,2024-02-15 09:36,Technical,Medium,Resolved,1.2,4.4,AGT-09,5,Error 500 on checkout page,Deployed hotfix for null pointer exception during checkout.
TKT-123,2024-03-14 11:51,Billing,High,Escalated,4.3,,AGT-07,,Incorrect charge on invoice,
TKT-124,2024-03-29 12:01,General,Critical,Escalated,1.5,,AGT-03,,Request for account deletion,Escalated to compliance team for legal hold verification.
TKT-125,2024-01-19 17:42,Technical,Low,Open,0.5,,AGT-07,,System login failure after update,Reviewing identity provider SAML response logs.
TKT-126,2024-01-28 14:26,Billing,High,Resolved,1.8,9.5,AGT-08,4,Refund not processed,
TKT-127,2024-03-20 08:43,Billing,Low,Resolved,1.5,23.4,AGT-02,3,Refund not processed,Confirmed payout completed; advised 3-5 day banking window.
TKT-128,2024-02-06 18:43,Technical,Medium,Resolved,2.5,76.5,AGT-10,4,System login failure after update,Reset customer password and multi-factor authentication.
TKT-129,2024-01-28 10:48,Billing,Medium,Resolved,1.6,11.5,AGT-05,2,Subscription not activated after payment,
TKT-130,2024-03-26 13:04,General,Medium,Resolved,4.3,114.3,AGT-07,5,How to add team members,
TKT-131,2024-03-22 14:18,General,Medium,Escalated,2.1,,AGT-02,,Feature request: dark mode,Escalated to product design lead for review.
TKT-132,2024-03-29 13:05,General,Medium,Resolved,4.3,13.5,AGT-07,4,Need help with onboarding,Shared onboarding checklist and quickstart video guide.
TKT-133,2024-02-12 10:04,General,Medium,Resolved,3.2,19.1,AGT-09,4,Feature request: dark mode,
TKT-134,2024-02-02 11:11,Billing,Low,Open,0.9,,AGT-10,,Refund not processed,Checking gateway status for failed refund payout.
TKT-135,2024-03-21 15:29,Billing,Critical,Resolved,3.8,3.6,AGT-10,4,Invoice not received,Sent duplicate invoice PDF to customer's alternate email.
TKT-136,2024-02-26 09:30,General,Medium,Open,3.2,,AGT-08,,Request for product documentation,
TKT-137,2024-02-09 15:28,Technical,Medium,Open,0.5,,AGT-01,,API timeout errors in production,Analyzing slow query telemetry during peak traffic hours.
TKT-138,2024-01-12 17:38,General,High,Resolved,2,9.1,AGT-09,1,Question about usage limits,Clarified plan quotas and reset cycles.
TKT-139,2024-03-05 10:03,Technical,Medium,Open,0.7,,AGT-08,,Error 500 on checkout page,
TKT-140,2024-03-23 10:02,General,Low,Escalated,3.6,,AGT-04,,Feature request: dark mode,
TKT-141,2024-02-06 14:26,Technical,Medium,Resolved,3.5,9.4,AGT-06,3,Database connection timeout,Recycled idle connections and scaled database replica.
TKT-142,2024-02-02 18:58,General,Medium,Resolved,4.4,5.1,AGT-10,3,How to add team members,Guided administrator through role invitation settings.
TKT-143,2024-01-11 12:35,Billing,Medium,Resolved,3.3,17.5,AGT-07,5,Refund not processed,
TKT-144,2024-03-06 13:01,General,High,Escalated,1.7,,AGT-06,,Request for account deletion,Escalated to compliance team for legal hold verification.
TKT-145,2024-01-18 10:04,Technical,Low,Resolved,4.3,40.7,AGT-05,5,System login failure after update,Updated SAML certificate resolving login authentication failure.
TKT-146,2024-03-20 10:38,General,Medium,Resolved,0.9,15.7,AGT-07,5,Change notification preferences,
TKT-147,2024-03-27 11:28,Billing,Medium,Open,1.6,,AGT-10,,Payment failed but amount deducted,Awaiting bank reference number from customer.
TKT-148,2024-02-09 15:57,Billing,Medium,Open,2,,AGT-04,,Payment failed but amount deducted,Requesting transaction reference ID from customer's bank.
TKT-149,2024-02-18 16:33,Technical,High,Open,4.8,,AGT-07,,Mobile app crash on startup,
TKT-150,2024-01-07 18:30,Billing,High,Resolved,2.9,10.4,AGT-06,3,Double billing issue,
TKT-151,2024-03-06 10:53,Technical,Medium,Open,0.6,,AGT-07,,Webhook not triggering,Sending test pings to customer webhook endpoint.
TKT-152,2024-02-23 08:25,Technical,Critical,Resolved,2,1.7,AGT-09,3,API timeout errors in production,Resolved connection pool starvation on production cluster.
TKT-153,2024-01-19 10:02,General,Medium,Resolved,4.6,18.7,AGT-05,4,Request for product documentation,
TKT-154,2024-01-28 10:35,Billing,Low,Resolved,3.1,14.5,AGT-12,2,Subscription not activated after payment,Access restored immediately after gateway confirmation.
TKT-155,2024-03-20 15:04,Technical,Medium,Resolved,4.2,15.9,AGT-02,4,Dashboard not loading,Dashboard view restored after database re-indexing.
TKT-156,2024-03-19 13:15,Technical,Medium,Resolved,2.2,23.4,AGT-10,2,Database connection timeout,
TKT-157,2024-03-05 16:01,General,Medium,Resolved,4.4,10.2,AGT-07,5,Request for account deletion,Account deactivated and user data permanently removed.
TKT-158,2024-03-25 18:06,Billing,Medium,Resolved,3.7,87.3,AGT-10,5,Double billing issue,Identified duplicate invoice and issued full credit.
TKT-159,2024-03-30 15:40,General,Medium,Resolved,4.1,12.1,AGT-03,3,Request for product documentation,
TKT-160,2024-02-10 12:32,Billing,High,Resolved,4.9,9.3,AGT-07,3,Invoice not received,
TKT-161,2024-02-12 12:07,Billing,High,Resolved,2.3,11.5,AGT-06,3,Double billing issue,Duplicate billing resolved; billing schedule synchronized.
TKT-162,2024-02-17 16:17,Technical,High,Resolved,3.7,10,AGT-02,4,Error 500 on checkout page,Deployed hotfix for null pointer exception during checkout.
TKT-163,2024-03-25 12:19,Billing,Low,Resolved,3.1,19.5,AGT-08,1,Invoice not received,
TKT-164,2024-02-05 18:50,General,Critical,Escalated,0.6,,AGT-01,,Request for account deletion,Escalated to compliance team for legal hold verification.
TKT-165,2024-03-27 10:01,General,High,Open,4.3,,AGT-03,,Change notification preferences,Testing notification delivery settings for team alias.
TKT-166,2024-01-31 18:23,Billing,Low,Resolved,2,33.9,AGT-06,5,Invoice not received,
TKT-167,2024-03-14 10:33,Technical,High,Open,2.1,,AGT-06,,Integration broken after version upgrade,Reviewing deprecated webhook parameters.
TKT-168,2024-01-24 15:33,Billing,Low,Resolved,4.6,35,AGT-07,3,Unexpected fee on account,One-time courtesy waiver applied for unexpected fee.
TKT-169,2024-03-03 11:07,General,Critical,Resolved,4.3,2.9,AGT-03,2,Request for account deletion,
TKT-170,2024-01-09 16:34,General,Medium,Open,4.5,,AGT-05,,Feature request: dark mode,
TKT-171,2024-01-16 11:50,Technical,Medium,Resolved,1.3,14.6,AGT-03,4,Database connection timeout,Recycled idle connections and scaled database replica.
TKT-172,2024-01-12 09:19,Billing,Medium,Open,5,,AGT-07,,Wrong plan charged,Calculating prorated adjustment across billing periods.
TKT-173,2024-01-10 10:20,Technical,High,Resolved,0.6,2.4,AGT-11,5,Database connection timeout,
TKT-174,2024-01-17 14:32,General,Medium,Resolved,4.2,5.6,AGT-01,5,Question about usage limits,Clarified plan quotas and reset cycles.
TKT-175,2024-03-07 12:54,Technical,Critical,Escalated,1.4,,AGT-02,,Database connection timeout,Escalated to database administration team.
TKT-176,2024-02-08 17:34,Technical,Low,Resolved,2.6,10.8,AGT-02,4,Mobile app crash on startup,
TKT-177,2024-03-13 08:52,Technical,High,Escalated,0.6,,AGT-01,,Mobile app crash on startup,Escalated to mobile application engineering team.
TKT-178,2024-03-14 14:39,Technical,High,Escalated,0.3,,AGT-11,,Database connection timeout,Escalated to database administration team.
TKT-179,2024-02-08 15:15,Technical,Medium,Resolved,2.1,5.5,AGT-11,4,Webhook not triggering,
TKT-180,2024-01-19 13:55,Billing,Medium,Escalated,1.7,,AGT-12,,Invoice not received,
TKT-181,2024-02-17 16:35,Technical,Low,Resolved,1.7,14.9,AGT-02,2,Data sync not working,Flushed sync queue and executed full data resynchronization.
TKT-182,2024-02-23 11:55,Technical,High,Escalated,4.1,,AGT-03,,Error 500 on checkout page,Escalated to checkout engineering squad.
TKT-183,2024-03-04 16:29,Billing,High,Resolved,4.4,5.3,AGT-08,4,Subscription not activated after payment,
TKT-184,2024-01-07 08:18,Billing,Medium,Open,3.1,,AGT-08,,Payment failed but amount deducted,Verifying bank transaction ID with payment processor.
TKT-185,2024-01-14 14:08,Technical,Medium,Open,3.7,,AGT-05,,Error 500 on checkout page,Replicating 500 error with user's specific cart contents.
TKT-186,2024-03-13 16:12,Billing,Medium,Resolved,2.9,18.8,AGT-06,3,Refund not processed,
TKT-187,2024-02-20 13:50,Billing,Critical,Resolved,2.9,3.8,AGT-06,4,Incorrect charge on invoice,Overcharge credited back to customer account.
TKT-188,2024-02-12 15:33,Billing,Low,Open,0.9,,AGT-08,,Double billing issue,Tracing duplicate transaction IDs across billing engines.
TKT-189,2024-02-10 10:25,Technical,Critical,Resolved,3.7,5.1,AGT-10,4,Mobile app crash on startup,
TKT-190,2024-01-03 13:21,Technical,Medium,Resolved,0.7,21.8,AGT-11,5,System login failure after update,
TKT-191,2024-03-24 17:36,General,Medium,Resolved,3.7,15.8,AGT-04,4,How to add team members,Guided administrator through role invitation settings.
TKT-192,2024-02-01 08:36,Billing,High,Resolved,0.7,2.7,AGT-12,4,Wrong plan charged,Adjusted subscription tier and credited difference.
TKT-193,2024-03-01 08:45,General,High,Resolved,2.7,6.3,AGT-03,4,Feature request: dark mode,
TKT-194,2024-02-13 16:22,Technical,Critical,Escalated,3.9,,AGT-11,,Data sync not working,Escalated to data integration engineering.
TKT-195,2024-02-01 12:35,General,Medium,Escalated,1.3,,AGT-05,,Need help with onboarding,Escalated to customer success team for VIP onboarding.
TKT-196,2024-03-29 15:20,Technical,High,Escalated,1.9,,AGT-08,,Data sync not working,
TKT-197,2024-03-27 16:24,Technical,Low,Escalated,4.1,,AGT-07,,Dashboard not loading,Escalated to frontend performance team.
TKT-198,2024-01-11 13:59,Technical,Low,Open,3.3,,AGT-08,,Integration broken after version upgrade,Testing backward compatibility of integration scripts.
TKT-199,2024-02-04 16:44,Billing,High,Open,0.9,,AGT-05,,Subscription not activated after payment,
TKT-200,2024-03-08 11:40,Billing,Low,Resolved,0.5,8.4,AGT-04,5,Incorrect charge on invoice,
TKT-201,2024-01-21 14:41,General,Critical,Resolved,2.5,2.3,AGT-08,4,How to export data to CSV,Sent knowledge base tutorial for automated CSV exports.
TKT-202,2024-03-09 08:58,General,Medium,Open,2.2,,AGT-03,,Request for product documentation,Compiling requested documentation bundle.
TKT-203,2024-01-24 12:56,Technical,High,Resolved,0.2,11.8,AGT-01,3,Database connection timeout,
TKT-204,2024-01-18 16:29,General,Medium,Resolved,1.1,12.1,AGT-05,3,Feature request: dark mode,Logged feature request in product backlog and notified customer.
TKT-205,2024-02-07 17:43,Billing,High,Escalated,1,,AGT-04,,Wrong plan charged,Escalated to senior billing team for plan adjustment.
TKT-206,2024-01-12 14:42,Technical,Medium,Resolved,1.1,7.5,AGT-02,3,Integration broken after version upgrade,
TKT-207,2024-02-12 12:37,Technical,High,Resolved,2.9,3.6,AGT-12,4,Webhook not triggering,Re-delivered failed webhook events successfully.
TKT-208,2024-03-28 16:59,Technical,Low,Resolved,3.9,45.4,AGT-12,4,Integration broken after version upgrade,Reconfigured integration endpoints following version release.
TKT-209,2024-03-02 10:29,Billing,Critical,Resolved,4.9,5.5,AGT-12,5,Subscription not activated after payment,
TKT-210,2024-03-17 09:33,Billing,High,Resolved,2.7,2.2,AGT-08,5,Subscription not activated after payment,
TKT-211,2024-01-22 13:54,General,Medium,Resolved,2.3,12.8,AGT-09,5,Change notification preferences,Disabled marketing notifications per user request.
TKT-212,2024-03-06 14:29,Billing,Medium,Resolved,0.5,17.9,AGT-10,4,Incorrect charge on invoice,Billing discrepancy resolved with finance team.
TKT-213,2024-01-10 08:27,General,Low,Resolved,3.6,43.3,AGT-06,5,Change notification preferences,
TKT-214,2024-01-24 10:49,Billing,Low,Resolved,4.9,47.7,AGT-11,4,Wrong plan charged,Adjusted subscription tier and credited difference.
TKT-215,2024-03-25 16:08,Technical,Low,Resolved,4.3,21.3,AGT-11,2,Integration broken after version upgrade,Provided compatibility patch for third-party connector.
TKT-216,2024-02-08 15:43,Billing,High,Resolved,2.8,3.7,AGT-12,3,Unexpected fee on account,
TKT-217,2024-01-15 08:51,Billing,Critical,Escalated,2.2,,AGT-11,,Incorrect charge on invoice,Escalated to billing operations for manual invoice correction.
TKT-218,2024-01-13 17:02,Billing,Low,Open,3.1,,AGT-08,,Incorrect charge on invoice,Reviewing invoice line items with billing department.
TKT-219,2024-02-21 15:14,Billing,High,Escalated,1.2,,AGT-09,,Incorrect charge on invoice,
TKT-220,2024-02-07 11:52,Billing,Medium,Resolved,3,20,AGT-12,3,Double billing issue,
TKT-221,2024-02-22 12:17,General,Medium,Resolved,2.9,5.9,AGT-01,4,Change notification preferences,Updated email and in-app notification preferences.
TKT-222,2024-03-23 18:24,Billing,Critical,Resolved,1.7,2.6,AGT-09,5,Payment failed but amount deducted,Payment captured and manually allocated to invoice.
TKT-223,2024-02-08 10:51,Billing,High,Resolved,4.6,7.1,AGT-08,2,Subscription not activated after payment,
