ticket_id,created_at,category,priority,status,resp_time_hrs,resol_time_hrs,agent_id,cust_rating,issue_summary,remarks
TKT-014,2024-01-12 20:52,General,Medium,Resolved,0.7,1.4,AGT-03,3,Inquiry about SLA guarantees,Invoice corrected and sent to customer email.
TKT-015,2024-01-15 04:27,Billing,Medium,Resolved,0.5,5.1,AGT-03,5,Promo code not applied at checkout,User guided through password reset and login restored.
TKT-016,2024-02-10 04:36,General,Low,Resolved,2.3,4.4,AGT-09,3,Feedback on recent UI update,Sent direct link to documentation and user guide.
TKT-017,2024-02-18 19:20,General,Medium,Open,3.1,4.4,AGT-10,3,Onboarding guidance for new team members,Logs collected and queued for review.
TKT-018,2024-02-04 18:42,Billing,Medium,Resolved,3.1,7.4,AGT-04,5,Auto-renewal cancellation request,Invoice corrected and sent to customer email.
TKT-019,2024-01-02 21:36,General,Low,Resolved,0.8,2.3,AGT-01,4,Request for product docs,Database connection pool expanded and performance restored.
TKT-020,2024-01-09 12:30,General,Medium,Resolved,4.7,7.1,AGT-09,4,Onboarding guidance for new team members,Sent direct link to documentation and user guide.
TKT-021,2024-01-29 14:32,General,High,Open,0.6,7.1,AGT-01,4,Inquiry about SLA guarantees,Logs collected and queued for review.
TKT-022,2024-02-12 17:07,Technical,Low,Escalated,0.3,7.1,AGT-02,4,Export to CSV throwing 502 Bad Gateway,Escalated to senior engineering team due to complexity.
TKT-023,2024-01-25 05:12,Billing,Low,Open,0.6,7.1,AGT-03,4,Double billing on subscription,Logs collected and queued for review.
TKT-024,2024-02-11 03:10,Technical,High,Open,3.6,7.1,AGT-10,4,High CPU usage on background worker,Under active investigation by support staff.
TKT-025,2024-01-23 04:27,Technical,Medium,Resolved,0.9,3.5,AGT-07,2,SSL certificate expiry warning,Issue verified fixed and customer confirmed resolution.
TKT-026,2024-02-07 21:24,Billing,Medium,Open,5.5,3.5,AGT-03,2,Refund not processed,Under active investigation by support staff.
TKT-027,2024-01-12 01:17,General,Low,Open,1.0,3.5,AGT-08,2,User permissions setup assistance,Assigned to L2 technical support queue.
TKT-028,2024-01-28 04:41,Technical,High,Resolved,0.9,3.0,AGT-01,5,SSL certificate expiry warning,Sent direct link to documentation and user guide.
TKT-029,2024-02-03 19:24,Billing,Medium,Escalated,0.3,3.0,AGT-10,5,Unrecognized charge on bank statement,Escalated to DevOps for infrastructure investigation.
TKT-030,2024-01-21 06:05,General,Critical,Resolved,0.1,10.3,AGT-04,4,Onboarding guidance for new team members,Patch deployed to production successfully.
TKT-031,2024-02-18 20:49,Billing,Medium,Resolved,1.5,5.2,AGT-01,5,Incorrect charge on invoice,Invoice corrected and sent to customer email.
TKT-032,2024-01-08 15:27,Technical,Low,Open,0.6,5.2,AGT-01,5,Dashboard widget loading state frozen,Logs collected and queued for review.
TKT-033,2024-02-18 09:34,Technical,Medium,Resolved,1.0,4.6,AGT-01,3,SSL certificate expiry warning,Sent direct link to documentation and user guide.
TKT-034,2024-02-02 14:48,Technical,High,Resolved,0.1,2.9,AGT-03,2,Mobile app crash on iOS 17 startup,Patch deployed to production successfully.
TKT-035,2024-01-10 17:36,Technical,Low,Resolved,0.5,4.1,AGT-09,4,Dashboard widget loading state frozen,Patch deployed to production successfully.
TKT-036,2024-01-08 07:00,Technical,Low,Escalated,1.3,4.1,AGT-03,4,Login failure after update,Escalated to senior engineering team due to complexity.
TKT-037,2024-02-18 15:30,Billing,Low,Resolved,2.6,5.1,AGT-09,4,Unrecognized charge on bank statement,Sent direct link to documentation and user guide.
TKT-038,2024-01-26 10:19,Billing,Medium,Escalated,0.5,5.1,AGT-10,4,Incorrect charge on invoice,Priority escalation triggered by SLA breach threshold.
TKT-039,2024-02-17 02:06,Billing,Low,Open,1.1,5.1,AGT-02,4,Promo code not applied at checkout,Awaiting customer response to troubleshooting steps.
TKT-040,2024-01-02 17:25,Technical,Medium,Resolved,0.1,2.0,AGT-09,1,SSO authentication error 500,User guided through password reset and login restored.
TKT-041,2024-02-05 06:31,Technical,High,Resolved,1.0,7.3,AGT-08,4,Export to CSV throwing 502 Bad Gateway,Patch deployed to production successfully.
TKT-042,2024-02-11 13:23,Technical,Medium,Resolved,0.8,1.7,AGT-04,2,Login failure after update,Invoice corrected and sent to customer email.
TKT-043,2024-01-27 10:39,Technical,Medium,Resolved,4.0,9.1,AGT-05,5,API timeout in production,User guided through password reset and login restored.
TKT-044,2024-01-29 02:17,Billing,Low,Resolved,0.9,3.8,AGT-05,5,Incorrect charge on invoice,User guided through password reset and login restored.
TKT-045,2024-02-16 05:49,Billing,High,Resolved,0.7,4.7,AGT-08,5,Unrecognized charge on bank statement,Invoice corrected and sent to customer email.
TKT-046,2024-01-22 23:17,Billing,Critical,Open,1.9,4.7,AGT-10,5,Payment gateway transaction failed,Logs collected and queued for review.
TKT-047,2024-01-26 12:25,Technical,Critical,Resolved,0.2,2.4,AGT-08,4,SSL certificate expiry warning,Issue verified fixed and customer confirmed resolution.
TKT-048,2024-02-01 21:41,General,Medium,Resolved,2.9,3.8,AGT-07,1,Onboarding guidance for new team members,Patch deployed to production successfully.
TKT-049,2024-02-17 15:44,Technical,Low,Resolved,0.8,8.0,AGT-07,3,Dashboard widget loading state frozen,Issue verified fixed and customer confirmed resolution.
TKT-050,2024-02-26 07:42,Technical,Medium,Escalated,0.9,8.0,AGT-06,3,Webhook notifications delayed,Escalated to DevOps for infrastructure investigation.
TKT-051,2024-01-17 10:34,Technical,Medium,Resolved,2.6,6.3,AGT-04,3,Webhook notifications delayed,Patch deployed to production successfully.
TKT-052,2024-01-13 14:40,Billing,Medium,Resolved,1.1,2.4,AGT-10,5,Payment gateway transaction failed,Refund processed and credit memo issued.
TKT-053,2024-01-14 06:00,Billing,High,Resolved,1.5,2.6,AGT-04,3,Invoice receipt missing for tax filing,Invoice corrected and sent to customer email.
TKT-054,2024-01-26 04:32,Billing,Medium,Resolved,8.5,13.3,AGT-09,5,Unrecognized charge on bank statement,Refund processed and credit memo issued.
TKT-055,2024-01-23 02:04,General,Low,Resolved,0.3,6.8,AGT-01,3,Account deletion and GDPR data wipe,Patch deployed to production successfully.
TKT-056,2024-01-05 21:35,Technical,Critical,Escalated,0.2,6.8,AGT-10,3,Database connection pool exhausted,Escalated to senior engineering team due to complexity.
TKT-057,2024-01-03 07:53,Technical,High,Resolved,1.7,2.6,AGT-09,4,API timeout in production,Issue verified fixed and customer confirmed resolution.
TKT-058,2024-02-18 22:19,Technical,Critical,Open,1.3,2.6,AGT-04,4,Login failure after update,Awaiting customer response to troubleshooting steps.
TKT-059,2024-01-14 23:33,Billing,Critical,Resolved,0.2,1.2,AGT-03,5,Unrecognized charge on bank statement,Issue verified fixed and customer confirmed resolution.
TKT-060,2024-01-03 11:32,Technical,Critical,Resolved,0.5,2.4,AGT-06,2,Database connection pool exhausted,Issue verified fixed and customer confirmed resolution.
TKT-061,2024-01-02 22:28,General,High,Resolved,2.3,57.4,AGT-01,3,User permissions setup assistance,Invoice corrected and sent to customer email.
TKT-062,2024-02-27 21:03,Technical,High,Escalated,0.2,57.4,AGT-07,3,High CPU usage on background worker,Escalated to DevOps for infrastructure investigation.
TKT-063,2024-02-15 00:53,Billing,Critical,Open,0.3,57.4,AGT-02,3,Refund not processed,Assigned to L2 technical support queue.
TKT-064,2024-01-28 15:54,General,Medium,Resolved,2.0,6.5,AGT-04,4,Language translation support request,Patch deployed to production successfully.
TKT-065,2024-01-26 20:48,Technical,High,Escalated,0.6,6.5,AGT-01,4,Mobile app crash on iOS 17 startup,Escalated to DevOps for infrastructure investigation.
TKT-066,2024-02-15 00:41,Billing,Low,Resolved,5.3,10.9,AGT-08,2,Double billing on subscription,Database connection pool expanded and performance restored.
TKT-067,2024-01-25 07:07,Billing,Low,Resolved,5.1,6.0,AGT-09,3,Promo code not applied at checkout,Invoice corrected and sent to customer email.
TKT-068,2024-02-15 17:12,Technical,Low,Resolved,3.2,7.0,AGT-01,4,SSO authentication error 500,Sent direct link to documentation and user guide.
TKT-069,2024-01-26 04:10,Technical,Low,Resolved,1.8,39.7,AGT-10,4,High CPU usage on background worker,Database connection pool expanded and performance restored.
TKT-070,2024-02-22 13:25,Billing,Critical,Open,5.8,39.7,AGT-01,4,Update billing credit card info,Assigned to L2 technical support queue.
TKT-071,2024-01-20 14:11,Technical,Critical,Escalated,1.0,39.7,AGT-04,4,API timeout in production,Escalated to DevOps for infrastructure investigation.
TKT-072,2024-01-06 16:15,Billing,Low,Resolved,1.2,2.3,AGT-05,3,Payment gateway transaction failed,Invoice corrected and sent to customer email.
TKT-073,2024-01-25 04:43,Technical,Low,Escalated,1.7,2.3,AGT-01,3,Database connection pool exhausted,Priority escalation triggered by SLA breach threshold.
TKT-074,2024-02-06 06:03,Technical,Critical,Resolved,0.8,33.0,AGT-08,3,Mobile app crash on iOS 17 startup,SSO certificate renewed and tested in production.
TKT-075,2024-01-02 06:28,Technical,Low,Open,0.5,33.0,AGT-03,3,Dashboard widget loading state frozen,Logs collected and queued for review.
TKT-076,2024-02-22 12:24,General,Low,Escalated,4.5,33.0,AGT-02,3,Onboarding guidance for new team members,Escalated to DevOps for infrastructure investigation.
TKT-077,2024-02-17 18:15,Technical,Medium,Open,1.6,33.0,AGT-05,3,Mobile app crash on iOS 17 startup,Awaiting customer response to troubleshooting steps.
TKT-078,2024-02-18 15:52,Technical,High,Resolved,2.3,71.8,AGT-06,5,SSO authentication error 500,Invoice corrected and sent to customer email.
TKT-079,2024-02-28 10:17,Technical,High,Resolved,0.4,7.7,AGT-08,5,SSO authentication error 500,User guided through password reset and login restored.
TKT-080,2024-01-10 13:06,Technical,High,Resolved,0.5,1.3,AGT-04,4,API timeout in production,Database connection pool expanded and performance restored.
TKT-081,2024-02-28 19:10,Technical,High,Resolved,0.5,1.5,AGT-04,4,High CPU usage on background worker,SSO certificate renewed and tested in production.
TKT-082,2024-02-12 18:53,Billing,Medium,Resolved,2.9,4.1,AGT-05,1,Auto-renewal cancellation request,User guided through password reset and login restored.
TKT-083,2024-01-20 22:37,Billing,Low,Resolved,3.3,14.2,AGT-05,3,Auto-renewal cancellation request,Refund processed and credit memo issued.
TKT-084,2024-01-18 08:59,General,Critical,Escalated,1.2,14.2,AGT-10,3,Custom domain configuration inquiry,Escalated to DevOps for infrastructure investigation.
TKT-085,2024-01-15 12:49,Billing,High,Resolved,2.1,5.7,AGT-02,4,Promo code not applied at checkout,Issue verified fixed and customer confirmed resolution.
TKT-086,2024-02-22 14:47,Billing,Low,Resolved,2.6,5.1,AGT-01,3,Subscription tier downgrade requested,Database connection pool expanded and performance restored.
TKT-087,2024-02-05 04:56,Technical,Medium,Resolved,2.1,11.6,AGT-09,3,API timeout in production,SSO certificate renewed and tested in production.
TKT-088,2024-02-10 21:03,General,High,Resolved,2.9,41.9,AGT-02,5,Onboarding guidance for new team members,Database connection pool expanded and performance restored.
TKT-089,2024-02-20 06:15,Technical,Medium,Open,0.8,41.9,AGT-10,5,SSO authentication error 500,Awaiting customer response to troubleshooting steps.
TKT-090,2024-01-16 02:22,Technical,High,Resolved,0.2,4.1,AGT-03,4,API timeout in production,SSO certificate renewed and tested in production.
TKT-091,2024-01-09 21:22,Technical,Medium,Resolved,0.4,2.9,AGT-01,4,Webhook notifications delayed,Issue verified fixed and customer confirmed resolution.
TKT-092,2024-02-14 19:27,Billing,Low,Open,1.1,2.9,AGT-09,4,Incorrect charge on invoice,Under active investigation by support staff.
TKT-093,2024-01-05 08:37,Technical,High,Resolved,1.2,3.0,AGT-09,3,Database connection pool exhausted,SSO certificate renewed and tested in production.
TKT-094,2024-01-20 12:22,Technical,Low,Resolved,1.1,5.0,AGT-10,2,API timeout in production,Issue verified fixed and customer confirmed resolution.
TKT-095,2024-01-18 16:35,Billing,High,Resolved,1.3,5.6,AGT-06,3,Invoice receipt missing for tax filing,Invoice corrected and sent to customer email.
TKT-096,2024-02-25 04:32,General,Medium,Resolved,0.3,5.3,AGT-07,2,Feedback on recent UI update,Issue verified fixed and customer confirmed resolution.
TKT-097,2024-02-21 18:22,Billing,Medium,Resolved,0.6,10.7,AGT-06,3,Incorrect charge on invoice,Sent direct link to documentation and user guide.
TKT-098,2024-02-10 11:11,Technical,Medium,Resolved,0.1,5.2,AGT-07,1,Dashboard widget loading state frozen,SSO certificate renewed and tested in production.
TKT-099,2024-02-11 16:46,Billing,Low,Resolved,0.2,8.6,AGT-09,5,Refund not processed,Database connection pool expanded and performance restored.
TKT-100,2024-01-12 05:45,Billing,Medium,Resolved,1.2,61.5,AGT-06,5,Double billing on subscription,Issue verified fixed and customer confirmed resolution.
TKT-101,2024-01-08 09:42,General,Medium,Resolved,0.2,3.4,AGT-07,2,Onboarding guidance for new team members,Issue verified fixed and customer confirmed resolution.
TKT-102,2024-02-13 02:11,Billing,Medium,Resolved,1.1,8.4,AGT-02,5,Double billing on subscription,Database connection pool expanded and performance restored.
TKT-103,2024-01-17 06:16,Technical,Medium,Resolved,1.0,4.6,AGT-03,4,Webhook notifications delayed,Invoice corrected and sent to customer email.
TKT-104,2024-01-31 19:17,Billing,Critical,Escalated,0.5,4.6,AGT-07,4,Invoice receipt missing for tax filing,Escalated to senior engineering team due to complexity.
TKT-105,2024-01-15 13:08,Billing,High,Resolved,1.7,51.6,AGT-07,2,Update billing credit card info,Issue verified fixed and customer confirmed resolution.
TKT-106,2024-02-03 07:34,Billing,Critical,Resolved,2.4,2.9,AGT-08,4,Invoice receipt missing for tax filing,Refund processed and credit memo issued.
TKT-107,2024-02-20 23:09,Technical,Medium,Resolved,3.4,4.4,AGT-07,3,Webhook notifications delayed,Invoice corrected and sent to customer email.
TKT-108,2024-02-09 22:17,Technical,Medium,Resolved,0.5,2.9,AGT-06,4,Export to CSV throwing 502 Bad Gateway,Refund processed and credit memo issued.
TKT-109,2024-01-02 22:50,General,Medium,Resolved,0.3,2.3,AGT-07,2,Inquiry about SLA guarantees,Refund processed and credit memo issued.
TKT-110,2024-01-23 23:55,Technical,Critical,Escalated,6.1,2.3,AGT-07,2,API timeout in production,Escalated to senior engineering team due to complexity.
TKT-111,2024-01-27 11:22,Billing,Low,Resolved,0.4,0.9,AGT-08,5,Update billing credit card info,Invoice corrected and sent to customer email.
TKT-112,2024-01-22 21:24,Technical,Low,Resolved,1.4,10.8,AGT-10,1,Dashboard widget loading state frozen,Invoice corrected and sent to customer email.
TKT-113,2024-02-19 05:53,Billing,Low,Resolved,0.1,2.4,AGT-01,5,Promo code not applied at checkout,SSO certificate renewed and tested in production.
TKT-114,2024-02-17 16:54,Billing,Low,Resolved,0.2,1.4,AGT-01,3,Double billing on subscription,User guided through password reset and login restored.
TKT-115,2024-02-16 13:16,General,Medium,Resolved,1.0,7.9,AGT-07,2,Inquiry about SLA guarantees,Patch deployed to production successfully.
TKT-116,2024-01-03 22:43,General,Medium,Escalated,1.1,7.9,AGT-04,2,Account deletion and GDPR data wipe,Customer requested manager escalation.
TKT-117,2024-02-15 16:48,Technical,High,Resolved,0.1,13.1,AGT-05,5,Dashboard widget loading state frozen,Sent direct link to documentation and user guide.
TKT-118,2024-01-11 00:32,Technical,Medium,Resolved,0.3,2.7,AGT-04,4,API timeout in production,SSO certificate renewed and tested in production.
TKT-119,2024-01-31 00:30,Technical,Low,Resolved,1.8,5.1,AGT-07,3,Export to CSV throwing 502 Bad Gateway,Database connection pool expanded and performance restored.
TKT-120,2024-02-27 03:46,General,High,Open,1.5,5.1,AGT-07,3,Feature request: Dark mode support,Under active investigation by support staff.
TKT-121,2024-02-06 08:21,Technical,Low,Resolved,3.6,5.0,AGT-03,5,Database connection pool exhausted,Invoice corrected and sent to customer email.
TKT-122,2024-02-11 01:43,Technical,Low,Resolved,2.7,7.9,AGT-04,5,Database connection pool exhausted,Issue verified fixed and customer confirmed resolution.
TKT-123,2024-02-26 09:37,General,Medium,Resolved,2.1,4.8,AGT-06,5,Account deletion and GDPR data wipe,Invoice corrected and sent to customer email.
TKT-124,2024-02-18 14:39,Technical,Medium,Resolved,0.8,4.5,AGT-09,4,SSO authentication error 500,Refund processed and credit memo issued.
TKT-125,2024-02-06 16:00,Billing,Low,Resolved,1.1,3.3,AGT-02,4,Incorrect charge on invoice,Database connection pool expanded and performance restored.
TKT-126,2024-02-27 16:30,General,Medium,Resolved,2.5,5.4,AGT-08,4,User permissions setup assistance,Patch deployed to production successfully.
TKT-127,2024-02-10 06:37,Billing,Low,Resolved,0.7,8.3,AGT-01,4,Update billing credit card info,Sent direct link to documentation and user guide.
TKT-128,2024-01-21 16:49,Billing,Medium,Open,2.7,8.3,AGT-05,4,Invoice receipt missing for tax filing,Awaiting customer response to troubleshooting steps.
TKT-129,2024-01-05 05:45,Technical,Low,Escalated,0.7,8.3,AGT-05,4,API timeout in production,Customer requested manager escalation.
TKT-130,2024-01-28 19:07,Technical,High,Escalated,1.6,8.3,AGT-04,4,Mobile app crash on iOS 17 startup,Escalated to DevOps for infrastructure investigation.
TKT-131,2024-01-18 14:52,General,Medium,Resolved,1.1,1.9,AGT-05,2,Account deletion and GDPR data wipe,User guided through password reset and login restored.
TKT-132,2024-01-01 11:39,Technical,High,Open,2.7,1.9,AGT-02,2,Export to CSV throwing 502 Bad Gateway,Logs collected and queued for review.
TKT-133,2024-02-19 16:45,General,Low,Resolved,0.2,12.5,AGT-07,2,Inquiry about SLA guarantees,Sent direct link to documentation and user guide.
TKT-134,2024-01-06 11:31,Technical,Medium,Resolved,2.1,20.8,AGT-10,4,API timeout in production,Patch deployed to production successfully.
TKT-135,2024-01-08 09:05,Billing,High,Resolved,1.6,54.5,AGT-03,4,Promo code not applied at checkout,Database connection pool expanded and performance restored.
TKT-136,2024-01-31 14:45,Technical,Critical,Resolved,2.9,11.9,AGT-10,4,API timeout in production,Sent direct link to documentation and user guide.
TKT-137,2024-02-15 00:54,General,High,Resolved,4.9,12.7,AGT-01,5,Request for product docs,Patch deployed to production successfully.
TKT-138,2024-02-06 14:25,Technical,Medium,Resolved,3.6,50.7,AGT-01,5,SSL certificate expiry warning,SSO certificate renewed and tested in production.
TKT-139,2024-02-13 06:02,Technical,High,Open,1.0,50.7,AGT-09,5,Mobile app crash on iOS 17 startup,Under active investigation by support staff.
TKT-140,2024-01-15 12:48,Technical,Medium,Open,0.2,50.7,AGT-01,5,Webhook notifications delayed,Logs collected and queued for review.
TKT-141,2024-01-29 12:03,General,High,Open,1.4,50.7,AGT-04,5,Onboarding guidance for new team members,Awaiting customer response to troubleshooting steps.
TKT-142,2024-01-22 20:59,Billing,Medium,Resolved,1.9,4.1,AGT-03,5,Invoice receipt missing for tax filing,SSO certificate renewed and tested in production.
TKT-143,2024-01-04 06:30,General,High,Resolved,0.2,8.3,AGT-06,2,Custom domain configuration inquiry,Patch deployed to production successfully.
TKT-144,2024-02-17 18:11,Technical,Medium,Resolved,1.7,3.3,AGT-10,4,Login failure after update,User guided through password reset and login restored.
TKT-145,2024-02-09 21:51,Billing,Medium,Open,1.3,3.3,AGT-07,4,Payment gateway transaction failed,Awaiting customer response to troubleshooting steps.
TKT-146,2024-02-17 15:16,Billing,Critical,Open,1.6,3.3,AGT-10,4,Auto-renewal cancellation request,Logs collected and queued for review.
TKT-147,2024-02-17 08:43,Technical,High,Open,1.1,3.3,AGT-06,4,SSO authentication error 500,Assigned to L2 technical support queue.
TKT-148,2024-02-06 04:47,Billing,High,Resolved,4.5,11.7,AGT-05,5,Double billing on subscription,User guided through password reset and login restored.
TKT-149,2024-02-09 09:17,Technical,Low,Resolved,0.9,2.4,AGT-03,4,Export to CSV throwing 502 Bad Gateway,User guided through password reset and login restored.
TKT-150,2024-02-26 20:18,Billing,Medium,Escalated,1.7,2.4,AGT-09,4,Double billing on subscription,Escalated to senior engineering team due to complexity.
TKT-151,2024-02-23 21:47,Technical,Medium,Resolved,0.5,7.5,AGT-02,4,Dashboard widget loading state frozen,User guided through password reset and login restored.
TKT-152,2024-02-21 18:30,General,Medium,Resolved,6.1,23.8,AGT-03,3,Inquiry regarding API rate limits,User guided through password reset and login restored.
TKT-153,2024-01-24 04:15,Technical,Medium,Open,1.0,23.8,AGT-07,3,Mobile app crash on iOS 17 startup,Awaiting customer response to troubleshooting steps.
TKT-154,2024-01-03 16:50,Technical,Medium,Resolved,4.3,9.4,AGT-07,2,SSO authentication error 500,User guided through password reset and login restored.
TKT-155,2024-02-29 15:52,Billing,Medium,Open,1.7,9.4,AGT-07,2,Double billing on subscription,Assigned to L2 technical support queue.
TKT-156,2024-02-15 08:19,Billing,Medium,Open,1.6,9.4,AGT-09,2,Unrecognized charge on bank statement,Under active investigation by support staff.
TKT-157,2024-02-27 09:21,Billing,High,Resolved,1.7,4.7,AGT-06,4,Unrecognized charge on bank statement,Issue verified fixed and customer confirmed resolution.
TKT-158,2024-01-01 13:53,Technical,Low,Resolved,1.2,5.3,AGT-01,3,High CPU usage on background worker,Refund processed and credit memo issued.
TKT-159,2024-01-18 12:17,Technical,Low,Resolved,0.9,44.3,AGT-06,4,API timeout in production,Invoice corrected and sent to customer email.
TKT-160,2024-02-01 16:07,Technical,Medium,Resolved,2.4,5.0,AGT-03,2,Login failure after update,Invoice corrected and sent to customer email.
TKT-161,2024-02-18 15:43,Billing,High,Resolved,0.9,8.9,AGT-07,4,Refund not processed,Patch deployed to production successfully.
TKT-162,2024-01-11 04:30,Technical,Medium,Resolved,1.0,2.9,AGT-09,5,Database connection pool exhausted,User guided through password reset and login restored.
TKT-163,2024-02-09 18:55,Billing,Critical,Open,2.2,2.9,AGT-09,5,Auto-renewal cancellation request,Under active investigation by support staff.
TKT-164,2024-02-14 21:00,Technical,Low,Resolved,0.7,1.7,AGT-06,2,Dashboard widget loading state frozen,Database connection pool expanded and performance restored.
TKT-165,2024-02-10 10:49,Billing,Medium,Open,0.6,1.7,AGT-02,2,Update billing credit card info,Awaiting customer response to troubleshooting steps.
TKT-166,2024-02-18 05:14,Technical,Medium,Resolved,3.7,11.6,AGT-08,2,Database connection pool exhausted,Invoice corrected and sent to customer email.
TKT-167,2024-01-07 23:33,Billing,Medium,Resolved,0.9,8.4,AGT-08,5,Unrecognized charge on bank statement,Sent direct link to documentation and user guide.
TKT-168,2024-01-26 20:43,Billing,Low,Resolved,0.4,4.6,AGT-06,4,Double billing on subscription,Patch deployed to production successfully.
TKT-169,2024-02-03 09:42,Technical,Low,Resolved,0.2,43.4,AGT-06,1,Database connection pool exhausted,Issue verified fixed and customer confirmed resolution.
TKT-170,2024-01-25 23:35,Technical,High,Resolved,0.2,7.8,AGT-10,5,SSO authentication error 500,Patch deployed to production successfully.
TKT-171,2024-02-06 20:46,Technical,Medium,Open,0.3,7.8,AGT-07,5,Webhook notifications delayed,Logs collected and queued for review.
TKT-172,2024-02-09 17:55,Billing,Critical,Open,1.2,7.8,AGT-10,5,Update billing credit card info,Awaiting customer response to troubleshooting steps.
TKT-173,2024-01-21 05:36,Technical,Low,Escalated,2.4,7.8,AGT-01,5,API timeout in production,Escalated to DevOps for infrastructure investigation.
TKT-174,2024-02-18 10:35,Billing,Medium,Resolved,1.2,3.6,AGT-10,3,Subscription tier downgrade requested,Issue verified fixed and customer confirmed resolution.
TKT-175,2024-02-05 00:51,Technical,Medium,Escalated,0.5,3.6,AGT-03,3,Dashboard widget loading state frozen,Escalated to DevOps for infrastructure investigation.
TKT-176,2024-02-22 17:04,Billing,High,Open,1.0,3.6,AGT-01,3,Double billing on subscription,Logs collected and queued for review.
TKT-177,2024-02-04 17:42,Billing,High,Resolved,2.8,4.0,AGT-07,1,Auto-renewal cancellation request,Issue verified fixed and customer confirmed resolution.
TKT-178,2024-02-02 13:17,Billing,Medium,Resolved,1.0,11.1,AGT-02,2,Invoice receipt missing for tax filing,Refund processed and credit memo issued.
TKT-179,2024-02-11 23:07,General,Medium,Resolved,1.5,2.7,AGT-06,4,Inquiry regarding API rate limits,SSO certificate renewed and tested in production.
TKT-180,2024-02-13 12:48,Technical,Medium,Escalated,0.6,2.7,AGT-05,4,Webhook notifications delayed,Customer requested manager escalation.
TKT-181,2024-01-26 07:29,General,High,Resolved,1.2,5.5,AGT-05,4,Feature request: Dark mode support,Issue verified fixed and customer confirmed resolution.
TKT-182,2024-02-15 14:00,Technical,Low,Resolved,1.8,3.7,AGT-07,2,Mobile app crash on iOS 17 startup,Sent direct link to documentation and user guide.
TKT-183,2024-02-29 12:47,Billing,High,Resolved,4.2,8.2,AGT-09,5,Incorrect charge on invoice,Invoice corrected and sent to customer email.
TKT-184,2024-02-15 09:11,Technical,Medium,Open,0.2,8.2,AGT-02,5,Database connection pool exhausted,Under active investigation by support staff.
TKT-185,2024-02-27 06:07,Billing,Critical,Open,0.7,8.2,AGT-01,5,Incorrect charge on invoice,Under active investigation by support staff.
TKT-186,2024-01-31 04:41,General,Medium,Resolved,2.5,3.9,AGT-03,4,User permissions setup assistance,User guided through password reset and login restored.
TKT-187,2024-01-08 01:02,Technical,High,Open,1.0,3.9,AGT-08,4,Export to CSV throwing 502 Bad Gateway,Under active investigation by support staff.
TKT-188,2024-01-25 00:51,Billing,Medium,Resolved,4.6,8.8,AGT-05,4,Payment gateway transaction failed,Invoice corrected and sent to customer email.
TKT-189,2024-01-05 20:42,General,Critical,Open,2.8,8.8,AGT-04,4,Custom domain configuration inquiry,Assigned to L2 technical support queue.
TKT-190,2024-02-12 15:19,General,Low,Resolved,1.6,6.5,AGT-03,5,Feature request: Dark mode support,Patch deployed to production successfully.
TKT-191,2024-02-01 12:45,General,Medium,Resolved,0.3,1.2,AGT-01,3,Custom domain configuration inquiry,SSO certificate renewed and tested in production.
TKT-192,2024-01-26 18:30,Billing,Medium,Resolved,2.5,10.1,AGT-09,5,Incorrect charge on invoice,SSO certificate renewed and tested in production.
